                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2739,                 3.9312,                 1.2353,                0.80446,                0.08343,                0.09359,                0.05624,                 2.1576,                 3.0498,                 1.1226,             0.00017336,             0.00017336,             0.00017336
                      1,                 2.1375,                 2.3803,                 1.0953,                0.47805,                0.17813,                0.16243,                0.08967,                 2.0365,                 1.9589,                 1.0672,             0.00033144,             0.00033144,             0.00033144
                      2,                 2.0648,                 1.8926,                 1.0766,                0.44834,                0.20528,                0.19801,                0.10938,                 1.9127,                 1.5733,                 1.0635,             0.00047215,             0.00047215,             0.00047215
                      3,                 1.9007,                  1.608,                 1.0498,                 0.5447,                0.22922,                0.23148,                0.12594,                 1.8058,                 1.5271,                 1.0263,             0.00044789,             0.00044789,             0.00044789
                      4,                 1.8515,                 1.5197,                 1.0411,                 0.5168,                0.24842,                0.24714,                0.14142,                 1.7657,                 1.4494,                 1.0161,             0.00044789,             0.00044789,             0.00044789
                      5,                 1.8054,                 1.4392,                 1.0204,                0.61841,                0.25922,                0.26521,                0.14935,                 1.7381,                 1.3502,                 1.0036,             0.00042185,             0.00042185,             0.00042185
                      6,                 1.7486,                 1.3356,                 1.0121,                0.63136,                   0.27,                0.27554,                0.15823,                 1.7174,                   1.28,                0.99799,             0.00039581,             0.00039581,             0.00039581
                      7,                 1.7389,                 1.3295,                 1.0074,                0.60326,                0.27518,                 0.2793,                0.15831,                 1.6857,                 1.3263,                0.99051,             0.00036978,             0.00036978,             0.00036978
                      8,                 1.7678,                 1.3196,                 1.0013,                 0.6234,                0.29717,                0.30105,                0.16798,                 1.6861,                 1.2478,                0.99011,             0.00034374,             0.00034374,             0.00034374
                      9,                 1.7049,                 1.2425,                0.99254,                0.69556,                0.29142,                0.31073,                0.17962,                 1.6394,                 1.1919,                0.98312,              0.0003177,              0.0003177,              0.0003177
                     10,                 1.7007,                 1.4332,                 1.0033,                0.64957,                0.29241,                0.30356,                0.17344,                  1.699,                 1.2767,                0.98994,             0.00029167,             0.00029167,             0.00029167
                     11,                 1.6709,                 1.2866,                0.99044,                0.63387,                0.30654,                0.31165,                0.18173,                 1.6656,                 1.2384,                0.97783,             0.00026563,             0.00026563,             0.00026563
                     12,                 1.6212,                 1.2309,                0.98275,                0.70086,                0.30519,                 0.3201,                0.18269,                 1.6523,                 1.2015,                0.97407,             0.00023959,             0.00023959,             0.00023959
                     13,                 1.6008,                 1.2109,                0.98031,                0.69379,                 0.3125,                0.32619,                0.19285,                   1.63,                 1.1509,                0.97652,             0.00021356,             0.00021356,             0.00021356
                     14,                 1.6053,                 1.1912,                0.97419,                0.71486,                0.30887,                0.32623,                0.19458,                 1.6129,                 1.1751,                0.97158,             0.00018752,             0.00018752,             0.00018752
                     15,                 1.5828,                 1.1801,                0.97209,                0.71089,                0.31225,                 0.3328,                0.19689,                 1.5854,                 1.1205,                0.96519,             0.00016148,             0.00016148,             0.00016148
                     16,                 1.5814,                 1.1431,                0.96502,                0.69259,                0.31133,                0.33497,                0.20062,                 1.5683,                 1.1083,                0.96261,             0.00013544,             0.00013544,             0.00013544
                     17,                 1.5378,                 1.1052,                0.96261,                0.73573,                0.31346,                0.33992,                0.20102,                 1.5863,                 1.0905,                0.96525,             0.00010941,             0.00010941,             0.00010941
                     18,                 1.5305,                 1.1142,                0.95578,                0.74969,                 0.3212,                0.34458,                  0.204,                 1.5609,                 1.0925,                0.95936,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     19,                 1.5178,                 1.1076,                0.95611,                0.73691,                0.28033,                0.30604,                0.18636,                 1.5503,                 1.0753,                 0.9562,             5.7334e-05,             5.7334e-05,             5.7334e-05
